Timestamp,ID,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63
0.000704399958181057,217,14,57,19,0,21,223,93,77,35,160,65,77,65,79,18,240,240,255,255,255,255,255,68,132,131,145,57,19,1,11,82,186,56,85,149,0,254,3,186,255,239,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.00165149990195346,219,14,57,14,0,32,113,60,74,247,231,126,131,26,63,194,127,149,65,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,68,212,207,91,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.00686479959244934,219,13,57,15,0,21,129,230,75,32,255,255,127,207,255,255,63,255,255,255,255,255,255,69,115,22,34,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00854389949276424,220,13,57,16,0,22,27,71,79,174,42,10,250,220,240,52,40,0,0,0,0,0,255,255,68,253,29,126,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0115991993113767,45,14,172,213,84,5,196,9,0,144,112,151,213,97,111,82,5,0,8,0,160,254,255,255,127,72,2,210,53,255,255,255,255,0,254,255,73,202,244,135,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0206988987711441,217,13,57,19,0,21,249,108,78,35,160,65,77,65,79,18,240,240,255,255,255,255,255,70,52,55,96,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0215610987199568,219,14,57,14,0,32,17,12,75,248,231,126,131,26,63,195,127,149,65,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,70,188,8,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0268543984057033,219,13,57,15,0,21,47,148,76,32,255,255,127,207,255,255,63,255,255,255,255,255,255,71,138,63,66,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0284785983092775,220,13,57,16,0,22,11,29,80,174,42,10,250,220,240,52,40,0,0,0,0,0,255,255,70,229,17,251,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.028860898286581,417436816,15,3,0,0,150,1,150,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,12,16,39,0,228,12,0,0,0,0,0,0,84,217,5,85,22,212,12,196,9,0,19,17,0,21,5,21,0,0
0.0315950981242565,45,14,219,106,85,5,196,9,0,144,112,151,214,97,111,82,5,0,8,0,160,254,255,255,127,72,2,210,53,255,255,255,255,0,254,255,75,81,140,206,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0414670975381739,219,14,57,14,0,32,253,243,76,248,231,126,131,26,63,195,127,149,65,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,72,89,255,205,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0419902975071125,217,13,57,19,0,21,36,204,79,35,160,65,205,66,79,18,240,240,255,255,255,255,255,72,55,78,155,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0423665974847722,227,11,0,128,0,4,199,17,169,4,65,0,5,8,0,128,3,67,203,238,75,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0456638972890175,68,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0469780972109959,219,13,57,15,0,21,205,132,77,32,255,255,127,207,255,255,63,255,255,255,255,255,255,73,254,133,9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0485132971198539,220,14,57,16,1,16,21,63,66,0,70,0,238,70,16,156,0,34,5,240,255,245,57,16,0,22,199,198,81,174,42,10,250,220,236,52,40,0,0,0,0,0,255,255,72,12,24,59,0,0,,,,,,,,,,,,,,,,
0.000634899962307145,227,12,57,6,11,8,0,81,81,20,0,192,207,255,57,4,34,8,0,61,135,126,120,31,250,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0050733996988015,217,13,57,19,0,21,142,215,36,35,160,65,13,64,79,18,240,240,255,255,255,255,255,242,108,30,68,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0059935996441709,219,14,57,14,0,32,225,214,33,248,231,126,131,26,63,195,127,213,65,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,242,26,16,200,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0106537993675033,227,10,57,128,0,12,0,127,162,144,190,241,175,254,247,228,144,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0113009993290802,219,13,57,15,0,21,117,53,34,32,255,255,127,207,255,255,63,255,255,255,255,255,255,243,8,100,73,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0128600992365193,220,13,57,16,0,22,134,52,38,174,42,10,250,220,240,52,40,0,0,0,0,0,255,255,242,121,190,83,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0132423992138229,417436816,15,0,0,0,165,0,0,0,80,1,0,0,0,0,0,0,0,0,0,0,26,90,143,0,0,0,0,2,0,0,0,0,0,0,0,0,0,74,74,75,235,0,233,0,49,1,6,1,248,0,250,0,75,74,75,251,0,19,17,0,21,5,21,0,0
0.0159966990503051,45,14,54,235,43,5,196,9,0,144,112,151,188,97,111,82,5,0,8,0,160,254,255,255,127,72,2,210,53,255,255,255,255,0,254,255,247,235,42,214,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0251503985068666,217,14,57,19,0,21,25,196,37,35,160,65,13,65,79,18,240,240,255,255,255,255,255,244,161,112,189,57,19,1,11,82,186,56,85,149,0,254,3,186,255,239,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0259215984610819,219,14,57,14,0,32,171,110,34,248,231,126,131,26,63,194,127,213,65,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,244,47,231,172,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0313708981375669,219,13,57,15,0,21,151,37,35,32,255,255,127,207,255,255,63,255,255,255,255,255,255,245,130,45,243,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0328120980520055,220,13,57,16,0,22,74,239,39,174,42,10,250,220,236,52,40,0,0,0,0,0,255,255,244,128,117,85,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0360212978614811,45,14,179,185,44,5,196,9,0,144,112,151,189,97,111,82,5,0,8,0,160,254,255,255,127,72,2,210,53,255,255,255,255,0,254,255,249,107,223,44,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0428664974550941,417436816,15,1,1,0,60,13,255,0,128,12,7,1,188,2,6,6,0,0,0,0,64,31,2,0,0,172,13,43,43,1,32,3,0,0,2,174,1,43,18,0,0,2,2,189,3,184,56,0,0,172,13,64,31,12,90,39,75,19,17,0,21,5,21,0,0
0.045056897325054,217,13,57,19,0,21,79,26,38,35,160,65,205,65,79,18,240,240,255,255,255,255,255,246,62,18,224,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0459720972707203,219,14,57,14,0,32,201,159,35,248,231,126,131,26,63,195,127,213,65,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,246,202,185,234,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.00498759970389528,417436816,15,0,0,0,165,0,0,0,80,1,0,0,0,0,0,0,0,0,0,0,26,90,142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,74,75,234,0,233,0,50,1,6,1,248,0,251,0,75,74,75,25,1,19,17,0,21,5,21,0,0
