Timestamp,ID,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63
0.00234189986096567,219,13,57,15,0,21,125,197,162,32,255,255,127,207,255,255,63,255,255,255,255,255,255,141,184,112,132,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00497209970481549,227,8,0,128,0,4,18,225,217,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00979349941857777,45,14,69,8,89,4,196,9,0,144,112,151,88,98,70,82,85,43,56,225,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,145,57,116,59,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0103105993878785,220,13,57,16,0,22,29,69,77,14,154,33,0,35,196,53,44,0,0,0,0,0,255,255,140,232,225,214,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0106897993653661,227,10,5,0,0,12,245,252,255,0,0,0,0,0,147,175,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0170368989885503,219,14,57,14,0,32,163,128,162,42,24,130,131,26,63,38,128,213,114,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,142,115,124,220,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0191922988605882,217,13,57,19,0,21,55,164,78,11,160,115,205,199,15,18,72,240,255,255,255,255,255,141,215,186,84,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0201475988038737,417436816,15,2,132,0,100,100,100,1,0,5,39,82,2,3,0,0,0,0,0,0,0,22,1,25,1,191,4,192,4,196,4,1,0,254,255,0,0,75,20,211,5,115,5,136,19,0,0,8,2,118,8,128,12,130,15,237,11,19,17,0,21,5,21,0,0
0.0222966986762856,219,13,57,15,0,21,159,213,163,32,255,255,127,207,255,255,63,255,255,255,255,255,255,143,181,55,113,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0298399982284536,45,14,100,19,90,4,196,9,0,144,112,151,88,98,70,82,85,43,56,225,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,147,41,205,126,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0303600981975762,212,8,57,4,6,4,156,104,20,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0305204981880536,220,14,57,16,1,16,85,67,63,50,87,16,121,6,233,156,18,32,149,192,255,245,57,16,0,22,3,29,78,14,162,33,0,35,196,53,44,0,0,0,0,0,255,255,142,33,1,73,0,0,,,,,,,,,,,,,,,,
0.0350786979174416,227,12,65,0,0,8,0,87,49,75,65,70,53,69,65,0,5,8,0,128,3,67,209,23,147,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0372418977890163,219,14,57,14,0,32,195,123,163,42,24,130,131,26,63,37,128,213,114,77,193,22,179,40,29,92,5,3,0,241,255,255,255,255,144,126,168,205,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0392171976717464,217,13,57,19,0,21,230,253,79,11,160,115,141,200,15,18,72,240,255,255,255,255,255,143,153,60,178,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0422963974889399,219,13,57,15,0,21,49,167,164,32,255,255,127,207,255,255,63,255,255,255,255,255,255,145,147,251,245,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00203659987909077,227,12,57,4,34,8,0,61,135,126,120,31,250,255,65,0,5,8,1,110,221,40,193,176,146,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00414569975387735,219,15,57,14,1,15,232,53,255,255,255,255,255,255,255,143,212,8,188,253,255,57,14,0,32,3,31,134,42,24,130,131,26,63,37,128,213,114,77,193,22,179,40,29,92,5,3,0,241,255,255,255,255,86,250,30,115,0,0,0,0,0,0,0,0,0
0.00684309959373763,217,13,57,19,0,21,75,41,50,11,160,115,205,200,15,18,72,240,255,255,255,255,255,86,70,225,235,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00928129944898615,219,13,57,15,0,21,21,170,135,32,255,255,127,207,255,255,63,255,255,255,255,255,255,87,208,31,177,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0168445989999668,220,13,57,16,0,22,98,101,50,14,162,33,0,35,196,53,44,0,0,0,0,0,255,255,87,212,238,134,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0172257989773357,45,14,91,99,62,4,196,9,0,144,112,151,88,98,70,82,85,43,56,225,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,91,174,65,30,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0240917985697138,219,14,57,14,0,32,172,85,135,42,24,130,131,26,63,38,128,213,114,77,193,22,179,40,29,92,5,3,0,241,255,255,255,255,88,189,159,78,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0263281984369428,217,14,57,19,1,11,89,186,72,85,149,0,254,3,186,255,239,57,19,0,21,121,99,51,11,160,115,141,200,15,18,72,240,255,255,255,255,255,87,230,86,32,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0269483984001226,417436816,15,4,83,1,83,1,15,0,42,48,237,12,119,13,34,1,145,1,8,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,21,5,21,0,0
0.0292825982615454,219,13,57,15,0,21,171,95,136,32,255,255,127,207,255,255,63,255,255,255,255,255,255,89,210,126,170,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0367757978166878,45,14,68,106,63,4,196,9,0,144,112,151,88,98,70,82,85,43,56,225,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,93,150,81,254,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0372959977858045,212,10,57,12,20,12,255,255,255,255,253,255,255,255,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0375353977715918,220,13,57,16,0,22,32,208,51,14,154,33,0,35,192,53,44,0,0,0,0,0,255,255,88,29,27,57,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0440204973865832,219,14,57,14,0,32,193,158,136,42,24,130,131,26,63,38,128,213,114,77,193,22,179,40,29,92,5,3,0,241,255,255,255,255,90,9,168,141,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0461328972611739,217,13,57,19,0,21,228,88,52,11,160,115,205,199,15,18,72,240,255,255,255,255,255,89,225,114,230,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0467230972261348,227,9,57,6,11,8,0,17,17,24,0,0,208,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0493261970715935,219,13,57,15,0,21,73,79,137,32,255,255,127,207,255,255,63,255,255,255,255,255,255,91,50,126,185,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.79999983376911e-06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00343119979629591,219,14,57,14,0,32,163,243,107,42,24,130,131,26,63,37,128,149,114,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,32,92,217,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.00544859967652656,217,13,57,19,0,21,35,70,23,11,160,115,205,200,15,18,72,240,255,255,255,255,255,32,194,212,247,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00863869948713614,219,13,57,15,0,21,45,168,108,32,255,255,127,207,255,255,63,255,255,255,255,255,255,33,50,160,110,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0113498993261771,227,10,50,4,0,12,222,86,31,83,103,7,0,240,35,81,211,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0134080992039856,417358208,8,2,126,0,255,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0161232990427891,220,14,57,16,1,16,85,67,63,48,87,16,33,86,233,156,18,32,149,192,255,245,57,16,0,22,128,11,23,14,162,33,0,35,196,53,44,0,0,0,0,0,255,255,33,102,82,215,0,0,,,,,,,,,,,,,,,,
0.016637499012262,45,14,48,151,35,4,196,9,0,144,112,151,88,98,70,82,85,43,56,225,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,37,121,102,56,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0171558989814855,212,8,57,4,6,4,189,74,9,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
